Name,n_x,n_y,n_g,Time,Iterations,O_len,W_len,W_len_less,F_Best,F_LB,F_rel,Width_W_Boxes
SinhaMaloDeb2014TP6,1,2,4,1067.187504711,289150,44155,0,0,-1.209,-1.2240257263183594,0.012275662181998312,0.0
SinhaMaloDeb2014TP7,2,2,2,1800.007800193,135275,0,168577,0,-1.961,-57.421875,0.9658492517006803,10.0
SinhaMaloDeb2014TP8,2,2,2,1800.005861532,112632,0,188576,0,0.0,-0.0,0.0,50.0
TuyEtal2007,1,1,3,0.789169335,8604,1200,0,0,22.5,21.807861328125,0.03076171875,0.0
Vogel2012,1,1,1,602.597131375,530611,14983,0,0,1.0,0.98443603515625,0.01556396484375,0.0
YeZhu2010Ex42,1,1,1,593.397966441,530611,14983,0,0,1.0,0.8303413391113281,0.16965866088867188,0.0
YeZhu2010Ex43,1,1,1,1800.001628412,767394,45686,2610,0,1.25,1.0615577697753906,0.1507537841796875,0.9570312500000568
Yezza1996Ex31,1,1,0,0.436796706,3696,1123,0,0,1.5,1.46875,0.020833333333333332,0.0
Yezza1996Ex41,1,1,1,14.016273932,27963,8887,0,0,0.5,0.24011993408203125,0.5197601318359375,0.0
Zlobec2001b,1,1,2,0.044916211,63,13,0,0,NaN,-0.0,NaN,0.0
